DOCUMENT_NBR,CRASH_YR,NLF_ROUTE_TYPE_CD,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,SEVERITY_BY_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,UNRESTRAIN_OCCUPANTS,NUMBER_OF_UNITS_NBR,CRASH_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,ODOT_INTERSECTION_REL_IND,ODOT_CRASH_LOCATION_CD,FACILITY_TYPE_CD,FUNCTIONAL_CLASS_CD,ODOT_DIV_UNDIV_IND,ODOT_LANES_NBR,FREEWAY_IND,INTERSTATE_IND,ODOT_MAINTAINED_HWY_IND,MAINTENANCE_AUTHORITY_CD,ODOT_CITY_VILLAGE_TWP_NME,CRASH_DT,MONTH_OF_CRASH,TIME_OF_CRASH,DAY_IN_WEEK_CD,WEATHER_COND_CD,ROAD_COND_PRIMARY_CD,ROAD_COND_SECONDARY_CD,LIGHT_COND_PRIMARY_CD,ROAD_CONTOUR_CD,ODPS_ALCOHOL_IND,ODPS_DRUG_IND,ODPS_SCHOOL_ZONE_IND,ODPS_MOTORCYCLE_IND,ODPS_SPEED_IND,ODPS_SENIOR_DRIVER_IND,ODPS_WORK_ZONE_IND,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_TYPE_OF_WORK_ZONE_CD,ODOT_YOUNG_DRIVER_IND,DISTRACTED_DRIVER_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_LOC_ROAD_NME,U1_AGE_NBR,U1_GENDER_CD,U1_ALCOH_DRUG_SUSPCTD_CD,U1_DISTRACTED_BY_1_CD,U1_DISTRACTED_BY_2_CD,U2_ODPS_UNIT_NBR,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_TURN_CD,U2_TRAFFIC_CONTROL_CD,U2_TYPE_OF_UNIT_CD,U2_SPECIAL_FUNCTION_CD,U2_UNIT_SPEED_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_CONT_CIR_PRIMARY_CD,U2_CONT_CIR_SECONDARY_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_NON_MOTORIST_LOC_CD,U2_AGE_NBR,U2_GENDER_CD,U2_ALCOH_DRUG_SUSPCTD_CD,U2_DISTRACTED_BY_1_CD,U2_DISTRACTED_BY_2_CD
20167028531,2016,CR,39.941917,-82.827694,1,0,0,0,0,2,0,2,Rear End,N,N,1,,4,N,4,N,N,N,4,REYNOLDSBURG,6/2/2016,6,1822,5,2,1,9,1,2,0,0,0,0,0,0,0,0,0,Y,Y,REYNOLDSBURG,LIVINGSTON,18,M,1,5,1,2,4,3,NT,1,6,1,,35,11,1,,20,,,,,,,40,F,1,1,1
20167028532,2016,SR,39.945711,-82.796483,1,0,0,0,0,2,0,2,Rear End,N,Y,6,2,3,N,4,N,N,N,4,REYNOLDSBURG,5/31/2016,5,1400,3,2,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,N,REYNOLDSBURG,,19,F,1,1,1,2,1,2,NT,4,3,1,,40,11,1,,20,,,,,,,64,F,1,1,1
20167028533,2016,US,39.954968,-82.819149,1,0,0,0,0,1,0,1,Fixed Object,Y,Y,2,2,3,N,4,N,N,N,4,REYNOLDSBURG,6/1/2016,6,2230,4,1,1,9,4,1,0,0,0,0,0,0,0,0,0,N,N,REYNOLDSBURG,ROSEHILL,59,M,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
20167028548,2016,SR,39.845767,-82.829132,1,0,0,0,0,2,0,2,Left Turn,N,Y,2,2,4,N,4,N,N,N,4,CANAL WINCHESTER,5/23/2016,5,535,2,1,1,9,2,1,0,0,0,0,0,0,0,0,0,N,N,CANAL WINCHESTER,GENDER,46,F,1,1,1,2,2,1,NT,1,7,1,35,35,1,1,99,20,,,,,,,47,M,1,1,1
20167028593,2016,SR,39.825346,-83.032614,3,0,0,1,0,1,0,2,Angle,N,Y,2,2,4,N,2,N,N,N,1,JACKSON TOWNSHIP,5/25/2016,5,2050,4,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,JACKSON TOWNSHIP,,42,M,1,1,1,2,3,4,NT,4,8,22,10,55,1,1,,20,,,,,,,37,M,1,1,1
20167028594,2016,IR,39.891339,-83.039491,1,0,0,0,0,2,0,1,Fixed Object,Y,N,1,2,1,Y,4,Y,Y,Y,1,JACKSON TOWNSHIP,5/25/2016,5,1519,4,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,JACKSON TOWNSHIP,,26,F,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
20167028595,2016,SR,39.826756,-83.01793,1,0,0,0,0,1,0,2,Parked Vehicle,Y,N,1,2,3,N,2,N,N,N,4,GROVE CITY,5/24/2016,5,1700,3,1,1,9,1,3,0,0,0,0,0,0,0,0,0,N,Y,JACKSON TOWNSHIP,,44,F,1,7,1,2,2,9,NT,1,7,1,,45,10,1,,20,,,,,,,,,,,
20167028596,2016,US,39.952146,-83.129757,1,0,0,0,0,2,0,2,Sideswipe - passing,N,N,1,2,3,Y,4,N,N,Y,1,PRAIRIE TOWNSHIP,5/24/2016,5,1535,3,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,PRAIRIE TOWNSHIP,MURRAY HILL,26,M,1,1,1,2,2,1,NT,12,6,1,25,25,1,1,,20,,,,,,,48,M,1,1,1
20167028641,2016,MR,40.026891,-83.156785,1,0,0,0,0,2,0,2,Left Turn,N,Y,3,,7,N,2,N,N,N,4,HILLIARD,5/25/2016,5,1605,4,2,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,HILLIARD,LUXAIR,86,M,1,1,1,1,1,2,NT,2,2,1,,35,11,1,,20,,,,,,,50,M,1,1,1
20167028643,2016,CR,40.10495,-83.159867,2,0,0,0,2,4,0,3,Rear End,N,Y,2,,4,N,4,N,N,N,4,DUBLIN,5/26/2016,5,1134,5,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,DUBLIN,AVERY MUIRFIELD,67,F,1,1,1,2,1,2,NT,4,5,1,1,35,11,1,,20,20,,,,,,46,F,1,1,1
