"Call_Source","Call_Type","Create_Date","Create_Year","Create_Month","EventFirstDispatched","EventFirstArrive","EventFirstEnroute","LastKnownLatitude","LastKnownLongitude","FirstArriveEngine","StartTransport","TransportArrive","Close_Date","Municipality","Beat"
"ANI/ALI","PS","1/1/2018 00:36",2018,1,"1/1/2018 00:36","1/1/2018 00:41","1/1/2018 00:36",40.07331434,-83.07625955,"E11","1/1/2018 0:49","1/1/2018 1:00","1/1/2018 1:19","COLUMBUS",11
"ANI/ALI","AAB","1/1/2018 00:39",2018,1,"1/1/2018 00:40","1/1/2018 00:43","1/1/2018 00:40",40.02905591,-83.01516483,"E13","","","1/1/2018 0:47","COLUMBUS",19
"ANI/ALI","AAB","1/1/2018 00:49",2018,1,"1/1/2018 00:49","1/1/2018 00:55","1/1/2018 00:50",NA,NA,"","","","1/1/2018 0:57","COLUMBUS",33
"PHONE","AA","1/1/2018 00:55",2018,1,"1/1/2018 00:56","1/1/2018 01:02","1/1/2018 00:57",39.98544027,-82.93309726,"E20","","","1/1/2018 1:12","COLUMBUS",20
"PHONE","AAB","1/1/2018 01:21",2018,1,"1/1/2018 01:22","1/1/2018 01:26","1/1/2018 01:23",NA,NA,"","","","1/1/2018 1:32","COLUMBUS",26
"ANI/ALI","AA","1/1/2018 02:14",2018,1,"1/1/2018 02:14","1/1/2018 02:23","1/1/2018 02:16",39.87900715,-82.88302016,"E181","","","1/1/2018 2:28","COLUMBUS",22
"PHONE","AA","1/1/2018 02:49",2018,1,"1/1/2018 02:49","1/1/2018 02:50","1/1/2018 02:50",39.96896232,-82.9678058,"E8","1/1/2018 2:58","1/1/2018 3:05","1/1/2018 3:14","COLUMBUS",15
"PHONE","AA","1/1/2018 03:40",2018,1,"1/1/2018 03:40","1/1/2018 03:43","1/1/2018 03:45",NA,NA,"","","","1/1/2018 4:04","COLUMBUS",15
"PHONE","AA","1/1/2018 04:08",2018,1,"1/1/2018 04:08","1/1/2018 04:16","1/1/2018 04:09",40.03360319,-82.90871405,"E28","1/1/2018 4:33","1/1/2018 4:43","1/1/2018 5:10","COLUMBUS",28
"PHONE","AAB","1/1/2018 04:15",2018,1,"1/1/2018 04:16","1/1/2018 04:22","1/1/2018 04:17",39.93272475,-82.98361236,"E14","","","1/1/2018 4:27","COLUMBUS",4
"ANI/ALI","AA","1/1/2018 04:58",2018,1,"1/1/2018 04:58","1/1/2018 05:03","1/1/2018 05:00",39.99881956,-82.97647703,"E18","","","1/1/2018 5:15","COLUMBUS",18
"PHONE","AA","1/1/2018 08:05",2018,1,"1/1/2018 08:05","1/1/2018 08:11","1/1/2018 08:06",NA,NA,"","","","1/1/2018 8:15","COLUMBUS",9
"ANI/ALI","AAB","1/1/2018 08:25",2018,1,"1/1/2018 08:26","1/1/2018 08:33","1/1/2018 08:26",39.96895574,-82.99679438,"E9","","","1/1/2018 8:53","COLUMBUS",8
"ANI/ALI","AA","1/1/2018 11:42",2018,1,"1/1/2018 11:42","1/1/2018 11:45","1/1/2018 11:43",40.06024283,-82.97686668,"E24","","","1/1/2018 12:11","COLUMBUS",24
"ANI/ALI","AA","1/1/2018 11:52",2018,1,"1/1/2018 11:53","1/1/2018 11:56","1/1/2018 11:54",NA,NA,"","1/1/2018 12:04","1/1/2018 12:13","1/1/2018 12:28","COLUMBUS",17
"PHONE","AA","1/1/2018 12:06",2018,1,"1/1/2018 12:07","1/1/2018 12:11","1/1/2018 12:07",NA,NA,"","1/1/2018 12:26","1/1/2018 12:46","1/1/2018 13:10","SHARON TOWNSHIP",27
"PHONE","AA","1/1/2018 13:25",2018,1,"1/1/2018 13:25","1/1/2018 13:29","1/1/2018 13:26",39.94332156,-83.08427283,"E12","","","1/1/2018 13:42","COLUMBUS",12
"ANI/ALI","AAB","1/1/2018 13:30",2018,1,"1/1/2018 13:30","1/1/2018 13:32","1/1/2018 13:31",39.95413616,-82.9957396,"E2","1/1/2018 13:48","1/1/2018 13:51","1/1/2018 14:28","COLUMBUS",3
"PHONE","AAB","1/1/2018 14:07",2018,1,"1/1/2018 14:07","1/1/2018 14:11","1/1/2018 14:08",40.06024283,-82.97686668,"E24","1/1/2018 14:27","1/1/2018 14:35","1/1/2018 15:02","COLUMBUS",24
"ANI/ALI","AA","1/1/2018 14:46",2018,1,"1/1/2018 14:46","1/1/2018 14:49","1/1/2018 14:47",39.96896232,-82.9678058,"E8","","","1/1/2018 14:51","COLUMBUS",8
"PHONE","AAB","1/1/2018 14:59",2018,1,"1/1/2018 15:00","1/1/2018 15:04","1/1/2018 15:00",39.94333249,-83.08428362,"E12","","","1/1/2018 15:12","COLUMBUS",12
"PHONE","PS","1/1/2018 15:05",2018,1,"1/1/2018 15:05","1/1/2018 15:08","1/1/2018 15:06",39.95513801,-83.07405601,"E17","1/1/2018 15:16","1/1/2018 15:27","1/1/2018 15:51","COLUMBUS",12
"PHONE","AAB","1/1/2018 16:18",2018,1,"1/1/2018 16:18","1/1/2018 16:23","1/1/2018 16:19",39.94227266,-83.10967167,"E192","","","1/1/2018 16:33","COLUMBUS",31
"ANI/ALI","AA","1/1/2018 16:21",2018,1,"1/1/2018 16:22","1/1/2018 16:26","1/1/2018 16:23",39.91065599,-83.13495461,"E31","","","1/1/2018 16:30","COLUMBUS",31
"PHONE","AA","1/1/2018 16:51",2018,1,"1/1/2018 16:51","1/1/2018 16:54","1/1/2018 16:52",39.94334882,-83.08431229,"E12","1/1/2018 17:01","1/1/2018 17:08","1/1/2018 17:23","FRANKLIN TOWNSHIP",192
"ANI/ALI","AA","1/1/2018 17:06",2018,1,"1/1/2018 17:07","1/1/2018 17:11","1/1/2018 17:08",39.9208854,-83.0605171,"E193","","","1/1/2018 17:22","COLUMBUS",22
"PHONE","AA","1/1/2018 17:14",2018,1,"1/1/2018 17:14","1/1/2018 17:18","1/1/2018 17:15",39.94345347,-83.08424541,"E12","","","1/1/2018 17:31","COLUMBUS",12
