ItemDescription,Condition
REAL PHOTOS of the device you will receive! It is fully functional and in good cosmetic Condition. it can be activated with any local and international GSM network carrier.,3
"89% BATTERY HEALTH, NO SCRATCHES ON THE SCREEN
 
 IPHONE 7 PLUS 32GB T-MOBILE BLACK, FAIR CONDITION, 30 DAY WARRANTY
 89% BATTERY HEALTH
 30 DAY WARRANTY
 SAME DAY SHIPPING
 This device is also guaranteed to have a CLEAN ESN and NO ICLOUD account.We don't guraantee the phone can be unlocked
 ALL of our devices we list here go through a 65-point inspection, guaranteed to be ready for use!
 What you get :1x iPhone 7 PLUS 
 
 Damage Description
 
 mark and scraches on the frame and back of the phone.The screen is perfect with no scratches
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
This phone is in near excellent shape with very minor scratches on the bottom back. Includes all accessories. Clean ESN.,4
Clear screen. Every other part of this Phone is Fully Functional.Phone's overall cosmetic condition is 9.5 out of 10,4
"iPhone 8 Plus 256gb Unlocked Space Gray in MINT Condition w/Apple Warranty until January 27, 2019!!",4
"?30 day money back guaranteed!? MINT condition,??tested, ? fully functional and ? unlocked.
 Device in mint condition, inside and out. All tests proved this device to be fully functional. Phone is network unlocked and works for any GSM carrier. Battery capacity is 83% with peak performance.",4
"Great shape,for parts because of a bad esn / imei.Please see all pictures",0
"iPhone 7 - 256Gb - Unlocked -Ships Today (Before 2PM EST) - 30 Day Warranty
 
 ""Overall cosmetic condition: A Grade
 Description: Great condition having little to no wear.
 For a better idea of damage, look at the pictures and read the damage description section.
 OS Version: iOs 11.4.1This was recorded at the time of testing and may have been updated since. Usually it will be on this OS version. We will not accept returns for firmware issues. 
 Unlocked: YesThis device is factory unlocked and can be activated with any carrier. Check with your carrier prior to purchasing to make sure this device is supported.) There will be no sim card provided with this device.
 Battery Health Percentage: 100%Charge cycles: 1
 No accessories will be included unless stated.
 Please make sure you read the whole listing and ask questions before making your purchase
 These phones are used and should be treated as such. Do not expect an OEM condition device.
 Inventory Number: 1903062
 SKU: 1090220361""
 
 Damage Description
 
 ""Screen: 10/10Description: No Wear.Please Note: The rating here is a cosmetic (scratching) rating. Defects are in condition notes.
 Frame: 10/10Description: No wear
 Back: 9/10Description: Little to no wear. (Light scratching/dents)
 Overall: 29/30
 Condition Notes: These devices are used and may include any of the following flaws, gap between the screen and frame, slight yellowing of LCD, small bright spots, replaced parts, degraded audio, degraded battery life and more. Do not expect the battery life to be perfect.We are not the original owners of any of the devices we sell. Please be aware of any manufacturer defects as they should be expected. Please research any device you plan on purchasing. We cannot be held responsible for manufacturer defects.""
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"iPhone 8 Plus 64gb unlocked for any carrier. Excellent condition. Just a hairline scratch on screen. Comes original box, headphones and with 8 cases!",3
"Apple iPhone SE (Unlocked) [A1662] 32GB w/ USB Charger and Headphones
 GOOD CONDITION - SHOWS SOME SIGNS OF USE
 COMES WITH USB CABLE AND HEADPHONES
 SWAPPA TRUSTED SELLER - PICTURES ARE OF ACTUAL PHONE FOR SALE
 BEING A SWAPPA TRUSTED SELLER, WE ARE PERMITTED TO USE OUR USER CODE RATHER THAN INDIVIDUAL LISTING CODES FOR EACH LISTING. EACH LISTING INCLUDES PICTURES OF THE ACTUAL PHONE FOR SALE THAT YOU WILL BE RECEIVING.
 
 Damage description
 GOOD CONDITION - SHOWS SOME SIGNS OF USE
 
 
 
 COMES WITH USB CABLE AND HEADPHONES
 
 
 
 SWAPPA TRUSTED SELLER - PICTURES ARE OF ACTUAL PHONE FOR SALE
 
 
 
 BEING A SWAPPA TRUSTED SELLER, WE ARE PERMITTED TO USE OUR USER CODE RATHER THAN INDIVIDUAL LISTING CODES FOR EACH LISTING. EACH LISTING INCLUDES PICTURES OF THE ACTUAL PHONE FOR SALE THAT YOU WILL BE RECEIVING.",3
"?30 day money back guaranteed!? MINT condition,??tested, ? fully functional and ? unlocked.
 
 Device in MINT condition, inside and out. Charger included, battery is at 99% with peak performance. All tests proved this device to be fully functional. Phone works for any GSM carrier.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"**SHIPS TODAY - B+ Grade - FREE 2-3 DAY Shipping - UNLOCKED - 14 Day Warranty - Trusted Seller**
 Verizon UNLOCKED - 16GB - Gray - Model A1687 - B+ Grade - 14 Day Warranty
 Fully Tested & Operational - Good Battery Health (84%)
 Clean ESN/IMEI - No iCloud Lock - iOS 10.2.1
 Photos show the condition of the phone - the casing overall is in great condition with just a little scuff in the top right corner...screen has a couple very tiny surface marks (not seen with screen on) and there is a tiny chip in the top right (not a crack). 
 Trusted Seller - Free 2-3 Day Shipping Included - Expedited Overnight Shipping is Available for $25 via USPS (if you'd like UPS or FedEx, please notify us for a price quote) - No Deliveries on Sunday
 No accessories included.
 Return Policy: 10% restocking fee for ""change of heart"", wrong model purchased, found your old phone, etc - buyer pays return shipping
 Thank you!
 
 Damage description
 The casing overall is in great condition with just a little scuff in the top right corner...screen has a couple very tiny surface marks (not seen with screen on) and there is a tiny chip in the top right (not a crack).",2
Clean ESN to Sprint post paid only. No prepaid or MVNO carriers. Great Condition! Phone only!#3737,4
"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*",3
"Apple iPhone 7 Plus Rose Gold - 32GB - GSM Unlocked A1784 - Screen in Great Condition!
 - The phone is in Good condition and is ""GSM Unlocked"" meaning it works with carriers including AT&T, T-Mobile, Straight Talk, Cricket Wireless, and Metro PCS along with international GSM networks. Does NOT work with Verizon, Sprint, and other CDMA carriers. - The screen is in great condition and the frame shows some signs of use. - Camera and all buttons work perfectly. - Finger print scanner works perfectly. - The ESN is clean and there is no i-cloud lock. It's fully functional! The phone doesn't come with any accessories, but you can get those online for pretty cheap. - If you want a perfectly working 32GB GSM Unlocked Rose Gold iPhone 7 Plus, then this is the listing for you! Please be sure to examine the photos of the item that are provided to be certain that the item is of the quality and condition that you desire before purchasing. We offer a 30-day money back guarantee on all our devices. Thanks for looking!
 
 Damage description
 Minor signs of use on the corners however the back is in good condition and the screen is in excellent condition with no scratches.",3
"iPhone 5 SE
 Great conditions unlocked to any carrier 
 I have 2 of them 140 for both if not 80 each!
 Pls no trades or low baller must pick up
 Hablo Espa̱ol",3
"Gently Used - Tested Working and fully functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be used Worldwide on ANY GSM NETWORK. NOTE: Pink Hue on LCD Screen - Functions as normal.",3
"Mint Apple iPhone X Space Gray 64GB Fully Unlocked A1865 
 
 Bought this phone unlocked from bast BestBuy 3 months ago but have to sell it due to upgrading to Xs Max. Cosmetically, it's clean with no dents or scratches. Always keep it in the case 
 What you get :1x iPhone X 64gb unlocked1x Lightning Cable1x USB Power Adapter1x OfficialiPhone Xs iPhone Case (blue) 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"Silver 
 Listed as Fair for the cosmetic of the phone actual phone in good condition 
 100 % fully functional 
 16 g
 Has (1) crack on screen as pictured a small lift on screen right 
 Light scratches and dings on sides
 Works for cricket /at&t
 Unlocked 
 W...read more",3
"***Apple iPhone 8 Plus Space Grey 64GB ((UNLOCKED)) Clean ESN **TRUSTED SELLER** 87% Battery
 Up for sale is a Apple iPhone 8 Plus
 Unlocked 
 64GB Storage 
 Space Grey Color
 Device is overall in good condition normal wear and tear shown in pictures 
 Included in listing is for device and box
 Please look at pictures and judge the condition if this meets the needs this is the device for you
 Please see pictures as this is the phone you will receive 
 87% Battery Beta Health
 TRUSTED SELLER
 FAST SHIPPING
 BUY WITH CONFIDENCE 
 Thank you for looking have a great day
 
 Damage description
 Normal Wear On Device, Pictures shown describes condition of device, pre-owned device",3
"LIKE NEW CONDITION Silver iPhone SE 32GB A1662 Verizon PREPAID Cell Phone
 
 Fully functional iPhone SE in LIKE NEW condition. NO WEAR and TEAR at all.Phone was used on Verizon PREPAIDCharger not included.Fast next day shipping to USA addresses ONLY!PayPal payment with a verified addressReturns accepted within 30 days.Thank you.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
~FAIR CONDITION ~NO ACCESSORIES INCLUDED ~BENT FRAME SEE PHOTO,2
In a very good conditiontested 18th July 2019only one user,3
