ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone 7 Plus,sprint,128 GB,rose gold,199,Bad IMEI.  Blacklisted.  Cannot be used or activated.  Selling as broken and for parts only.  Find My iPhone is OFF.  Device itself is fully functional.
iPhone 6s,unlocked,128 GB,rose gold,199.99,Near Mint condition.  Phones will have very minimal wear on the housing or screen.
iPhone 8 Plus,unlocked,64 GB,space gray,449.95,"Excellent Condition. Phone Is nice edges well approximated, no separations.  No scratches,  No cracks No Dents, no edge separations. The Phone itself Is All original.Comes with Charging Plug and Cord. The IMEI for this Phone is 356117098572946.  Go ahead and Google it to get to know your soon to be phone With 64 GB. This Phone is not Brand New, I do not see any obvious flaws, How ever There may be some scratches from previous use.  At the time of this listing, I do not see any that are obvious.  If there are any I usually will tell you about them."
iPhone 7,verizon,32 GB,rose gold,99.99,"The touch screen does NOT respond to touch, home button does not either. Not sure what carrier the phone is. It is model A1660, IMEI 359459082106894"
iPhone 6,unlocked,16 GB,gray,72.99,This iPhone is being sold as is for parts or repair only. The screen is non-OEM which means it was previously replaced. The screen is cracked.  The screen is not flush with the casing. It has a clean esn and can be activated on a network. See photos and description before purchasing.
iPhone 4,verizon,8 GB,black,19.97,This has been tested and it is in good working order. Note that charger and other accessories are not included.
iPhone 5s,unlocked,16 GB,gold,29.99,NO RETURNS ACCEPTED. The screen is cracked and the screen does not work right. The screen has a distorted look and does not respond correctly to touch. The phone still turns on. The bezel has a lot of small blemishes and nicks. The back of the phone has some blemishes as well. The phone is GSM carrier unlocked and can be used on any GSM carrier in the world if it is repaired. PHONE ONLY.
iPhone 6s,sprint,16 GB,space gray,62.99,"The screen is cracked, but it works like normal. The phone has a TOUCHY CHARGING PORT. The charger has to be put into the phone a certain way for the phone to charge. The phone NEEDS A NEW BATTERY. The phone has been tested and has no other issues. The bezel has a lot of nicks and heavy wear. The back has a lot of scratches. The phone is Clean ESN for Sprint and can be activated on Sprint ONLY. Charger is not included. PHONE ONLY."
iPhone 6s,at&t,32 GB,space gray,45,The Phone will not power on or do anything.  Not Tested due to the Phone Not powering on. For Use on the AT&T network. SAFE BUY! We NEVER sell iCloud Locked devices. IMEI: 353262079989959 & 355684072428586
iPhone X,unlocked,64 GB,silver,567.95,"Good Condition. Comes with cord and charger. IMEI is 354846090357714 Give it a look up and get to know your soon to be phone.Nice Phone has some fine scratches on the side metal bands see pics. A few Faint cosmetic scratches on the front glass. (Unable to get pics of those). All edges are well Approximated.  No splitting, cracking, or dents on this phone. Scratches do not affect the resistant quality of this phone, also they do not affect the performance of the phone.  Nothing broken nothing fixed.  This phone is all original.  Battery Health is 100%"
iPhone XR,unlocked,64 GB,red,849.99,"This phone comes in original packaging with all new accessories. It has Apple Warranty until June 5, 2020. Condition 10/10 and functionality 10/10."
iPhone 6s,unlocked,64 GB,space gray,159.95,Body of the phone is excellent as was always used in case. Screen has light scratches from normal use. Earpods and charging cord like new.  Extra white (apple brand) case has some wear (see pics).
iPhone 4S,unlocked,8 GB,black,34.05,"100% factory unlocked. After professional testing, the phone can be used properly. No problem.We have replaced the housing, the phone just looks new. It is A+"
iPhone 6s,unlocked,16 GB,silver,80,Please read the entire description. Mobile users tap "Read More" just below to see all the details.
iPhone 4S,at&t,8 GB,black,27.95,"Device will not come with a charger or a sim card. Please select a condition and color from the drop down boxes. If you have any questions, please do not hesitate to contact us. Thanks for looking!"
iPhone SE,verizon,16 GB,space gray,139,"This Verizon GSM Unlocked 16GB Apple iPhone SE is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. The battery health is at 98% on this phone! It does not come with the original box, but it does come with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 6s Plus,unlocked,128 GB,space gray,219.99,Phones will have an excellent condition housing and screen. Near Mint Condition.  Please refer to auction pictures which are of the actual phone for this listing.
iPhone Xs Max,unlocked,64 GB,space gray,965,"Grade A – NO cosmetic defects, blemishes, dents, scratches or signs of age. Manufacturer sealed in box."
iPhone 4S,at&t,8 GB,black,27.95,"Device will not come with a charger or a sim card. Please select a condition and color from the drop down boxes. If you have any questions, please do not hesitate to contact us. Thanks for looking!"
iPhone 4S,unlocked,16 GB,black,24.99,There are multiple phones listed with varying conditions. The phone screens typically have light scratches and minimal wear. Please see photos.
iPhone 5c,unlocked,8 GB,blue,34.99,Good Condition - These phones may show common signs of wear such as scuffs or scratches on both the screen and the body. There may be minor dings in the frame of the phone and possible wear around audio and charging ports. All phones are fully tested using our 34-point inspection process and are 100% functional.
iPhone 5s,at&t,16 GB,gray,50,Devices have been data wiped and tested by an in-house technician. Locked to AT&T.
iPhone 7 Plus,unlocked,128 GB,black,354.95,"Item has passed 27 point inspection & is Manufacturer Refurbished, 100% fully functional & unlocked. All phones come with three (3) month Warranty. Brand New Smarter-Phone branded charger and adapter included! Back housing may contain minor signs of wear. Screen may include scratches, invisible when the device is on. Ear Phones are not included."
iPhone 5,verizon,16 GB,black,39.99,The phone is fully functional and works great. Please read the full description.
iPhone 6s,unlocked,32 GB,space gray,110,THIS IS A PREVIOUSLY USED CELL PHONE IN GOOD OPERATING CONDITION. BATTERY HEALTH 93% SCREEN IS CRACKED FROM LOWER LEFT HAND CORNER TO UPPER RIGHT HAND CORNER (SEE PHOTOS)
iPhone XR,t-mobile,64 GB,black,378,iphone xr 64gb t-mobile bad esn. phone has a bad esn thats means you can't use it with t mobile network. phone has minor scratches son the side. phon has been fully tested and everything works fine. no box no accessories
